,User,text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
27,@BBC,"RT @BBCCiN: This is exactly how Pudsey warms up before the appeal show. 😜
 
To find out what on earth is going on here, tune in to Children…",Wed Nov 04 13:50:36 +0000 2020,0.2732,0.065,0.935,0.0,1
28,@BBC,"""We thought she was dead... I reached out to her and suddenly Elif grabbed my finger"" 

A three-year-old girl trapp… https://t.co/aW7Nq0dxJN",Tue Nov 03 14:01:00 +0000 2020,-0.5994,0.057,0.769,0.174,1
29,@BBC,"Band new series #CripTales captures life-changing moments in six powerful, dramatic monologues.

Written, directed… https://t.co/eN4XqwvDXS",Mon Nov 02 20:01:00 +0000 2020,0.4215,0.167,0.833,0.0,1
30,@BBC,"RT @BBCArchive: #OnThisDay 1936: The BBC launched its Television service! It is estimated a mere 400 ""lookers in"" witnessed the event https…",Mon Nov 02 12:19:51 +0000 2020,0.2003,0.079,0.921,0.0,1
31,@BBC,"""We'll learn, and fight, and live another night.” 🦇 

Sink your teeth into Heirs of the Night. Streaming now on… https://t.co/MAGjsqXrfq",Sun Nov 01 17:01:00 +0000 2020,-0.3818,0.0,0.885,0.115,1
32,@BBC,"The #6Nations is back! 🙌

Starting with #WALvSCO from 1:45pm on @BBCOne &amp; @bbciplayer, and #FRAvIRE from 7:30pm on… https://t.co/NSDbBP1Hag",Sat Oct 31 12:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
33,@BBC,"Tonight on the #GrahamNortonShow...

✨Jessie Buckley!
✨@BillBailey!
✨@octaviaspencer!
✨@FrankRGardner!
✨… https://t.co/Gv4uVlEVs0",Fri Oct 30 20:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
34,@BBC,"RT @HackerTDog: Want something fun to watch this #Halloween? Check out my birthday best bits film right here:
https://t.co/FkYVEeQmLW
Featu…",Fri Oct 30 15:36:22 +0000 2020,0.8316,0.341,0.659,0.0,1
35,@BBC,"RT @bbcweather: Enjoy cloud gazing? Want to know more about them? Click on the button below to send us your recent cloud snaps, and Matt Ta…",Fri Oct 30 10:55:47 +0000 2020,0.594,0.168,0.832,0.0,1
36,@BBC,"This is how you get demoted from bridesmaid to plus one. 💍 👰 😂  
@sarapascoe #OutOfHerMind
https://t.co/MKbccJISZN",Thu Oct 29 17:01:00 +0000 2020,0.4404,0.142,0.787,0.071,1
37,@BBC,"RT @HackerTDog: MY TOP NOTCH PAL @Linds_bluepeter INTERVIEWED @GretaThunberg FOR BLUE PETER. WATCH IT ALL HERE:
https://t.co/vQh1Ge7YKV
SHA…",Thu Oct 29 14:54:07 +0000 2020,0.368,0.13,0.87,0.0,1
38,@BBC,"Legendary Japanese filmmakers Studio Ghibli make the everyday magical in animated classics, such as Spirited Away a… https://t.co/HA1L0dvhoF",Wed Oct 28 17:01:00 +0000 2020,0.3182,0.119,0.881,0.0,1
39,@BBC,"RT @bbcbitesize: We’re all different, and that’s a really really good thing 🙌

Dads Rich and Lew have some great advice for talking to youn…",Wed Oct 28 16:17:50 +0000 2020,0.9036,0.327,0.673,0.0,1
40,@BBC,"The NHS wants people who have recovered from coronavirus to donate their blood plasma

It's part of a trial looking… https://t.co/DkDizqhT7W",Tue Oct 27 17:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
41,@BBC,"The countdown is ON! 

#HisDarkMaterials returns Sunday 8 November on @BBCOne and @BBCiPlayer.
 
🌟 True fans will w… https://t.co/O0BaDa48zk",Mon Oct 26 17:01:00 +0000 2020,0.4753,0.14,0.86,0.0,1
42,@BBC,"Leech therapy is a centuries-old treatment that is still used on hundreds of NHS patients every year 😮

#Surgeons:… https://t.co/KaUY6SJ86E",Sun Oct 25 14:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
43,@BBC,"BAFTA-nominated drama #Apostasy follows a Jehovah's Witness congregation in Oldham.

10pm | @bbctwo &amp; @BBCiPlayer.… https://t.co/2AjR6REN5J",Sat Oct 24 19:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
